Store,Date,Sales,Customers,Mean Temperature
1,02-01-2013,5530,668,6
1,03-01-2013,4327,578,7
1,04-01-2013,4486,619,11
1,05-01-2013,4997,635,9
1,07-01-2013,7176,785,9
1,08-01-2013,5580,654,6
1,09-01-2013,5471,626,5
1,10-01-2013,4892,615,4
1,11-01-2013,4881,592,2
1,12-01-2013,4952,646,1
1,14-01-2013,4717,616,-1
1,15-01-2013,3900,512,1
1,16-01-2013,4008,530,-1
1,17-01-2013,4044,503,0
1,18-01-2013,4127,568,0
1,19-01-2013,5182,688,-2
1,21-01-2013,5394,607,-1
1,22-01-2013,5720,667,-2
1,23-01-2013,5578,627,-1
1,24-01-2013,5195,645,-2
1,25-01-2013,5586,676,-2
1,26-01-2013,5598,640,-2
1,28-01-2013,4055,549,4
1,29-01-2013,3725,522,9
1,30-01-2013,4601,560,14
1,31-01-2013,4709,571,9
1,01-02-2013,5633,658,8
1,02-02-2013,5970,701,7
1,04-02-2013,7032,762,8
1,05-02-2013,6049,678,7
1,06-02-2013,6140,693,2
1,07-02-2013,5499,675,4
1,08-02-2013,5681,630,3
1,09-02-2013,5370,656,1
1,11-02-2013,4409,599,1
1,12-02-2013,4015,572,0
1,13-02-2013,4252,604,2
1,14-02-2013,4241,573,2
1,15-02-2013,4809,607,2
1,16-02-2013,6154,682,4
1,18-02-2013,6407,710,6
1,19-02-2013,5386,608,2
1,20-02-2013,5660,684,2
1,21-02-2013,5261,629,0
1,22-02-2013,5000,599,-2
1,23-02-2013,5237,650,-3
1,25-02-2013,4038,534,2
1,26-02-2013,3794,525,6
1,27-02-2013,4558,579,2
1,28-02-2013,4676,581,5
1,01-03-2013,4611,584,4
1,02-03-2013,5350,678,8
1,04-03-2013,7675,840,11
1,05-03-2013,6300,715,13
1,06-03-2013,5973,678,15
1,07-03-2013,5637,702,16
1,08-03-2013,5853,694,17
1,09-03-2013,5578,734,13
1,11-03-2013,4949,618,1
1,12-03-2013,3853,491,-3
1,13-03-2013,4341,622,0
1,14-03-2013,5108,660,2
1,15-03-2013,4925,677,2
1,16-03-2013,5003,680,8
1,18-03-2013,7072,778,8
1,19-03-2013,6563,719,9
1,20-03-2013,5598,688,9
1,21-03-2013,5179,662,5
1,22-03-2013,5506,694,7
1,23-03-2013,5603,682,3
1,25-03-2013,6729,777,3
1,26-03-2013,6686,747,4
1,27-03-2013,6660,779,6
1,28-03-2013,7285,902,6
1,30-03-2013,7132,773,6
1,02-04-2013,5484,629,8
1,03-04-2013,4625,594,7
1,04-04-2013,4293,566,10
1,05-04-2013,4390,571,4
1,06-04-2013,5075,657,6
1,08-04-2013,6046,695,11
1,09-04-2013,5514,594,11
1,10-04-2013,4903,575,12
1,11-04-2013,4366,541,18
1,12-04-2013,5263,614,16
1,13-04-2013,4773,608,15
1,15-04-2013,3941,526,24
1,16-04-2013,3357,453,22
1,17-04-2013,3649,500,23
1,18-04-2013,2952,432,22
1,19-04-2013,4303,526,14
1,20-04-2013,4350,546,12
1,22-04-2013,5672,623,17
1,23-04-2013,4492,560,19
1,24-04-2013,4309,512,22
1,25-04-2013,3939,532,26
1,26-04-2013,4841,572,20
1,27-04-2013,5726,650,7
1,29-04-2013,5821,641,16
1,30-04-2013,5925,665,13
1,02-05-2013,6486,677,17
1,03-05-2013,6027,658,18
1,04-05-2013,5912,813,17
1,06-05-2013,4568,562,23
1,07-05-2013,4624,540,19
1,08-05-2013,5230,631,23
1,10-05-2013,5409,644,17
1,11-05-2013,5064,640,17
1,13-05-2013,6106,660,13
1,14-05-2013,5083,574,18
1,15-05-2013,4790,576,20
1,16-05-2013,4448,544,18
1,17-05-2013,4856,597,14
1,18-05-2013,4413,535,20
1,21-05-2013,4789,602,15
1,22-05-2013,3559,507,11
1,23-05-2013,4030,536,12
1,24-05-2013,4232,534,12
1,25-05-2013,4408,538,14
1,27-05-2013,5519,606,19
1,28-05-2013,4995,555,22
1,29-05-2013,5784,641,12
1,31-05-2013,7893,795,18
1,01-06-2013,5693,662,17
1,03-06-2013,5422,619,18
1,04-06-2013,5220,558,21
1,05-06-2013,5012,575,23
1,06-06-2013,4881,555,25
1,07-06-2013,4315,541,26
1,08-06-2013,4262,511,26
1,10-06-2013,4291,531,20
1,11-06-2013,3784,500,22
1,12-06-2013,3563,476,23
1,13-06-2013,3661,461,27
1,14-06-2013,4150,529,19
1,15-06-2013,4766,567,22
1,17-06-2013,5337,585,32
1,18-06-2013,4633,554,33
1,19-06-2013,4180,517,35
1,20-06-2013,5011,539,27
1,21-06-2013,5173,542,23
1,22-06-2013,4341,512,23
1,24-06-2013,3549,494,19
1,25-06-2013,4536,528,18
1,26-06-2013,3827,508,17
1,27-06-2013,3593,464,16
1,28-06-2013,4407,568,18
1,29-06-2013,5804,671,21
1,01-07-2013,5614,614,25
1,02-07-2013,5868,614,26
1,03-07-2013,5875,634,19
1,04-07-2013,5701,634,25
1,05-07-2013,4986,603,24
1,06-07-2013,4090,498,27
1,08-07-2013,4475,523,28
1,09-07-2013,4047,503,28
1,10-07-2013,3963,496,27
1,11-07-2013,4053,486,23
1,12-07-2013,4134,514,24
1,13-07-2013,4015,490,26
1,15-07-2013,6377,657,27
1,16-07-2013,5643,582,28
1,17-07-2013,4946,544,29
1,18-07-2013,4904,533,30
1,19-07-2013,4275,495,29
1,20-07-2013,4421,544,28
1,22-07-2013,4149,493,34
1,23-07-2013,3937,497,33
1,24-07-2013,3849,453,28
1,25-07-2013,3502,451,31
1,26-07-2013,4221,516,32
1,27-07-2013,3352,456,37
1,29-07-2013,6290,630,24
1,30-07-2013,5773,630,24
1,31-07-2013,5572,624,27
1,01-08-2013,4994,555,33
1,02-08-2013,4494,562,36
1,03-08-2013,4461,553,31
1,05-08-2013,4086,522,33
1,06-08-2013,3582,477,30
1,07-08-2013,4143,512,28
1,08-08-2013,3680,466,22
1,09-08-2013,3257,418,24
1,10-08-2013,3768,457,26
1,12-08-2013,5326,600,25
1,13-08-2013,5299,573,22
1,14-08-2013,4724,574,22
1,15-08-2013,4575,538,25
1,16-08-2013,4552,527,29
1,17-08-2013,4078,503,29
1,19-08-2013,3954,513,25
1,20-08-2013,3492,475,23
1,21-08-2013,3096,441,25
1,22-08-2013,3703,498,26
1,23-08-2013,3493,445,24
1,24-08-2013,4752,601,26
1,26-08-2013,5482,613,19
1,27-08-2013,5156,556,22
1,28-08-2013,4583,507,23
1,29-08-2013,4804,534,25
1,30-08-2013,5469,612,26
1,31-08-2013,5317,598,22
1,02-09-2013,4195,496,24
1,03-09-2013,3928,507,25
1,04-09-2013,3343,444,28
1,05-09-2013,3883,465,31
1,06-09-2013,3836,466,31
1,07-09-2013,4663,555,23
1,09-09-2013,5893,601,20
1,10-09-2013,5403,599,17
1,11-09-2013,5103,580,17
1,12-09-2013,5079,586,18
1,13-09-2013,5187,559,18
1,14-09-2013,4663,619,18
1,16-09-2013,4249,568,17
1,17-09-2013,3685,502,14
1,18-09-2013,3946,507,14
1,19-09-2013,3717,469,16
1,20-09-2013,3516,494,17
1,21-09-2013,3909,522,18
1,23-09-2013,4770,542,19
1,24-09-2013,4274,492,21
1,25-09-2013,4212,500,19
1,26-09-2013,4481,537,19
1,27-09-2013,4669,548,17
1,28-09-2013,4175,538,18
1,30-09-2013,4088,516,16
1,01-10-2013,4178,508,17
1,02-10-2013,4001,509,16
1,04-10-2013,5447,619,14
1,05-10-2013,5352,662,12
1,07-10-2013,6004,626,18
1,08-10-2013,5452,592,17
1,09-10-2013,4957,596,18
1,10-10-2013,5286,596,13
1,11-10-2013,5896,670,8
1,12-10-2013,4954,608,8
1,14-10-2013,3773,478,14
1,15-10-2013,3355,457,13
1,16-10-2013,3383,452,14
1,17-10-2013,3223,446,16
1,18-10-2013,3566,490,16
1,19-10-2013,3667,479,19
1,21-10-2013,5055,571,18
1,22-10-2013,4068,504,24
1,23-10-2013,4612,505,17
1,24-10-2013,4044,498,18
1,25-10-2013,4573,576,16
1,26-10-2013,4347,535,21
1,28-10-2013,3557,494,19
1,29-10-2013,3737,479,15
1,30-10-2013,4119,496,12
1,31-10-2013,4035,514,12
1,01-11-2013,5471,707,11
1,02-11-2013,5233,653,16
1,04-11-2013,5861,620,13
1,05-11-2013,5348,628,9
1,06-11-2013,5572,611,14
1,07-11-2013,5009,575,17
1,08-11-2013,5242,583,13
1,09-11-2013,4681,582,12
1,11-11-2013,4014,519,11
1,12-11-2013,4017,507,8
1,13-11-2013,3310,464,10
1,14-11-2013,3795,502,5
1,15-11-2013,4016,504,7
1,16-11-2013,5071,616,5
1,18-11-2013,5927,681,7
1,19-11-2013,5143,583,7
1,20-11-2013,4936,586,7
1,21-11-2013,4623,545,6
1,22-11-2013,5058,581,5
1,23-11-2013,5297,614,7
1,25-11-2013,4600,575,3
1,26-11-2013,4201,524,4
1,27-11-2013,4561,530,-2
1,28-11-2013,4614,585,2
1,29-11-2013,5623,665,6
1,30-11-2013,6373,730,5
1,02-12-2013,6943,754,8
1,03-12-2013,6293,658,6
1,04-12-2013,5688,627,4
1,05-12-2013,5691,685,7
1,06-12-2013,6112,673,5
1,07-12-2013,5799,723,6
1,09-12-2013,4462,576,10
1,10-12-2013,4228,581,9
1,11-12-2013,4301,543,6
1,12-12-2013,4074,558,4
1,13-12-2013,4703,594,1
1,14-12-2013,6119,743,5
1,16-12-2013,8277,825,7
1,17-12-2013,7356,808,7
1,18-12-2013,7821,828,6
1,19-12-2013,6788,782,9
1,20-12-2013,8414,895,7
1,21-12-2013,8043,927,4
1,23-12-2013,9528,1130,11
1,24-12-2013,3204,385,14
1,27-12-2013,6110,737,9
1,28-12-2013,5659,716,9
1,30-12-2013,7193,796,7
1,31-12-2013,2362,298,6
1,02-01-2014,4969,618,10
1,03-01-2014,4190,552,11
1,04-01-2014,5173,660,8
1,06-01-2014,6194,649,8
1,07-01-2014,5539,607,13
1,08-01-2014,4931,589,13
1,09-01-2014,4396,539,13
1,10-01-2014,4486,559,9
1,11-01-2014,4454,569,6
1,13-01-2014,3994,545,4
1,14-01-2014,3621,464,6
1,15-01-2014,3776,486,5
1,16-01-2014,3632,477,8
1,17-01-2014,3803,479,10
1,18-01-2014,5128,630,7
1,20-01-2014,6148,653,4
1,21-01-2014,5151,551,4
1,22-01-2014,4562,549,5
1,23-01-2014,4597,525,6
1,24-01-2014,5098,587,4
1,25-01-2014,4546,561,3
1,27-01-2014,3601,517,7
1,28-01-2014,3581,453,8
1,29-01-2014,3789,491,2
1,30-01-2014,4549,543,3
1,31-01-2014,4906,589,5
1,01-02-2014,5292,667,6
1,03-02-2014,5839,638,5
1,04-02-2014,5540,602,7
1,05-02-2014,5031,581,5
1,06-02-2014,4823,557,10
1,07-02-2014,5596,636,11
1,08-02-2014,4726,620,9
1,10-02-2014,3591,502,6
1,11-02-2014,3461,481,8
1,12-02-2014,3662,508,8
1,13-02-2014,3638,517,7
1,14-02-2014,4647,591,8
1,15-02-2014,5258,655,11
1,17-02-2014,5393,606,10
1,18-02-2014,4602,556,9
1,19-02-2014,4935,547,13
1,20-02-2014,4563,559,12
1,21-02-2014,4727,550,11
1,22-02-2014,4820,623,8
1,24-02-2014,3826,481,14
1,25-02-2014,3499,470,13
1,26-02-2014,4108,491,11
1,27-02-2014,3826,519,10
1,28-02-2014,5031,603,10
1,01-03-2014,5307,655,8
1,03-03-2014,6198,616,8
1,04-03-2014,5397,619,13
1,05-03-2014,4916,592,11
1,06-03-2014,4585,542,11
1,07-03-2014,5340,588,14
1,08-03-2014,4400,550,16
1,10-03-2014,3573,469,17
1,11-03-2014,3588,476,18
1,12-03-2014,3805,499,18
1,13-03-2014,3224,450,19
1,14-03-2014,3883,502,18
1,15-03-2014,5042,630,11
1,17-03-2014,5563,628,15
1,18-03-2014,5200,635,11
1,19-03-2014,4036,496,16
1,20-03-2014,4023,485,22
1,21-03-2014,4510,542,19
1,22-03-2014,5241,628,11
1,24-03-2014,3850,511,9
1,25-03-2014,3136,448,11
1,26-03-2014,3225,443,11
1,27-03-2014,3847,512,16
1,28-03-2014,3987,471,18
1,29-03-2014,4583,548,20
1,31-03-2014,6008,640,20
1,01-04-2014,5407,583,22
1,02-04-2014,4834,539,23
1,03-04-2014,4556,526,22
1,04-04-2014,4738,552,22
1,05-04-2014,4599,571,17
1,07-04-2014,3751,497,22
1,08-04-2014,3990,496,16
1,09-04-2014,3919,528,14
1,10-04-2014,3948,501,16
1,11-04-2014,3733,507,20
1,12-04-2014,4435,570,20
1,14-04-2014,6803,693,15
1,15-04-2014,6196,672,9
1,16-04-2014,6381,662,14
1,17-04-2014,6160,703,17
1,19-04-2014,5871,642,18
1,22-04-2014,4133,563,19
1,23-04-2014,3482,434,22
1,24-04-2014,3376,461,24
1,25-04-2014,3710,468,26
1,26-04-2014,3989,535,21
1,28-04-2014,5488,607,16
1,29-04-2014,5923,628,18
1,30-04-2014,5870,624,21
1,02-05-2014,6790,732,18
1,03-05-2014,5498,633,13
1,05-05-2014,5325,615,19
1,06-05-2014,5055,585,19
1,07-05-2014,5075,604,17
1,08-05-2014,5222,614,19
1,09-05-2014,5237,622,19
1,10-05-2014,5996,710,17
1,12-05-2014,3957,555,15
1,13-05-2014,3535,449,16
1,14-05-2014,3710,474,17
1,15-05-2014,3589,491,14
1,16-05-2014,3863,479,19
1,17-05-2014,3785,512,19
1,19-05-2014,5637,608,25
1,20-05-2014,4909,549,28
1,21-05-2014,4298,510,29
1,22-05-2014,3801,481,27
1,23-05-2014,4968,526,21
1,24-05-2014,4574,516,19
1,26-05-2014,3912,494,19
1,27-05-2014,3971,511,20
1,28-05-2014,4616,581,19
1,30-05-2014,5407,628,15
1,31-05-2014,4985,560,21
1,02-06-2014,6071,609,22
1,03-06-2014,5614,593,22
1,04-06-2014,5229,570,23
1,05-06-2014,5278,585,19
1,06-06-2014,4957,575,27
1,07-06-2014,4923,555,31
1,10-06-2014,4607,560,32
1,11-06-2014,4207,535,26
1,12-06-2014,3702,489,26
1,13-06-2014,3901,498,25
1,14-06-2014,4757,562,19
1,16-06-2014,4788,529,22
1,17-06-2014,5770,594,22
1,18-06-2014,5256,567,26
1,20-06-2014,6362,709,19
1,21-06-2014,3982,496,22
1,23-06-2014,3755,456,22
1,24-06-2014,3351,444,25
1,25-06-2014,3727,440,21
1,26-06-2014,2749,368,22
1,27-06-2014,4019,501,27
1,28-06-2014,5162,566,21
1,30-06-2014,5738,641,22
1,01-07-2014,5138,533,23
1,02-07-2014,5161,560,25
1,03-07-2014,4756,514,29
1,04-07-2014,4025,450,30
1,05-07-2014,5176,589,24
1,07-07-2014,4223,505,24
1,08-07-2014,4081,510,17
1,09-07-2014,3547,485,14
1,10-07-2014,3741,472,23
1,11-07-2014,4020,463,25
1,12-07-2014,4409,531,25
1,14-07-2014,5083,532,26
1,15-07-2014,5298,538,27
1,16-07-2014,5424,566,27
1,17-07-2014,4685,525,29
1,18-07-2014,4609,506,33
1,19-07-2014,4084,477,34
1,21-07-2014,4507,528,24
1,22-07-2014,3933,495,29
1,23-07-2014,3806,476,29
1,24-07-2014,3557,494,27
1,25-07-2014,3858,461,26
1,26-07-2014,4266,488,28
1,28-07-2014,5372,584,30
1,29-07-2014,5252,591,26
1,30-07-2014,5487,587,23
1,31-07-2014,5106,575,26
1,01-08-2014,5038,572,28
1,02-08-2014,4731,555,26
1,04-08-2014,5655,592,26
1,05-08-2014,5433,620,23
1,06-08-2014,5337,575,25
1,07-08-2014,4154,480,26
1,08-08-2014,4451,503,28
1,09-08-2014,4174,504,26
1,11-08-2014,3886,505,23
1,12-08-2014,3185,421,23
1,13-08-2014,4069,496,19
1,14-08-2014,3906,481,21
1,15-08-2014,3746,479,17
1,16-08-2014,4425,544,19
1,18-08-2014,5623,598,18
1,19-08-2014,5190,528,22
1,20-08-2014,4280,467,19
1,21-08-2014,4327,484,19
1,22-08-2014,3971,461,21
1,23-08-2014,3582,469,19
1,25-08-2014,3414,449,19
1,26-08-2014,3396,460,19
1,27-08-2014,3148,421,21
1,28-08-2014,3920,467,24
1,29-08-2014,3869,439,24
1,30-08-2014,4094,518,23
1,01-09-2014,5464,561,19
1,02-09-2014,5008,564,20
1,03-09-2014,4978,539,18
1,04-09-2014,4346,507,20
1,05-09-2014,4706,553,25
1,06-09-2014,3959,515,26
1,08-09-2014,3676,530,24
1,09-09-2014,3377,439,22
1,10-09-2014,3275,448,18
1,11-09-2014,3392,437,17
1,12-09-2014,3906,501,18
1,13-09-2014,4270,508,19
1,15-09-2014,4611,545,21
1,16-09-2014,4381,511,24
1,17-09-2014,4383,490,25
1,18-09-2014,3740,447,24
1,19-09-2014,4128,485,23
1,20-09-2014,3911,500,23
1,22-09-2014,3982,466,16
1,23-09-2014,3407,437,16
1,24-09-2014,3405,465,15
1,25-09-2014,2462,378,18
1,26-09-2014,3518,442,19
1,27-09-2014,3914,464,22
1,29-09-2014,5280,566,23
1,30-09-2014,4919,550,21
1,01-10-2014,4712,554,21
1,02-10-2014,5400,601,22
1,04-10-2014,5355,621,20
1,06-10-2014,5402,608,17
1,07-10-2014,5439,556,17
1,08-10-2014,4944,518,17
1,09-10-2014,4654,527,18
1,10-10-2014,4396,539,18
1,11-10-2014,4743,557,18
1,13-10-2014,4033,492,18
1,14-10-2014,3681,476,18
1,15-10-2014,3775,451,17
1,16-10-2014,3430,436,19
1,17-10-2014,3720,500,18
1,18-10-2014,4169,497,20
1,20-10-2014,4652,560,20
1,21-10-2014,4678,547,15
1,22-10-2014,4868,566,11
1,23-10-2014,4466,476,13
1,24-10-2014,4196,495,13
1,25-10-2014,4596,539,13
1,27-10-2014,4260,475,12
1,28-10-2014,3364,439,8
1,29-10-2014,3761,449,11
1,30-10-2014,4042,492,13
1,31-10-2014,4161,512,14
1,01-11-2014,6532,731,11
1,03-11-2014,5857,625,14
1,04-11-2014,5253,586,14
1,05-11-2014,4838,539,11
1,06-11-2014,4785,527,9
1,07-11-2014,5220,582,9
1,08-11-2014,4720,546,13
1,10-11-2014,5474,578,10
1,11-11-2014,4479,555,9
1,12-11-2014,4677,533,9
1,13-11-2014,3869,471,11
1,14-11-2014,5334,603,12
1,15-11-2014,4967,614,12
1,17-11-2014,3582,491,11
1,18-11-2014,3890,529,9
1,19-11-2014,3894,494,9
1,20-11-2014,4963,635,8
1,21-11-2014,4594,570,9
1,22-11-2014,5849,678,8
1,24-11-2014,6527,694,9
1,25-11-2014,5815,610,6
1,26-11-2014,5328,611,6
1,27-11-2014,6144,668,6
1,28-11-2014,7195,711,5
1,29-11-2014,7066,749,4
1,01-12-2014,7380,723,4
1,02-12-2014,6467,717,2
1,03-12-2014,6454,695,2
1,04-12-2014,7016,681,3
1,05-12-2014,6207,712,4
1,06-12-2014,6185,746,6
1,08-12-2014,4884,610,6
1,09-12-2014,4345,559,3
1,10-12-2014,4915,619,4
1,11-12-2014,5060,587,7
1,12-12-2014,5269,617,11
1,13-12-2014,7263,850,7
1,15-12-2014,8069,871,6
1,16-12-2014,7739,823,8
1,17-12-2014,7523,791,7
1,18-12-2014,7785,841,14
1,19-12-2014,7558,884,12
1,20-12-2014,8367,962,7
1,22-12-2014,9331,1080,9
1,23-12-2014,7959,957,10
1,24-12-2014,3659,421,9
1,27-12-2014,6057,684,1
1,29-12-2014,6463,700,-2
1,30-12-2014,6466,703,2
1,31-12-2014,2605,327,2
1,02-01-2015,5509,657,4
1,03-01-2015,5023,645,3
1,05-01-2015,6239,712,4
1,06-01-2015,4574,595,-2
1,07-01-2015,4796,603,3
1,08-01-2015,3716,457,9
1,09-01-2015,3998,494,13
1,10-01-2015,4599,566,15
1,12-01-2015,5346,590,8
1,13-01-2015,4924,564,14
1,14-01-2015,4541,545,8
1,15-01-2015,4295,517,11
1,16-01-2015,4161,524,6
1,17-01-2015,5255,622,6
1,19-01-2015,3721,480,0
1,20-01-2015,3680,462,2
1,21-01-2015,3299,460,2
1,22-01-2015,3492,493,2
1,23-01-2015,3586,489,3
1,24-01-2015,4840,600,2
1,26-01-2015,4781,566,4
1,27-01-2015,4806,532,4
1,28-01-2015,4310,537,5
1,29-01-2015,5171,573,4
1,30-01-2015,5577,616,3
1,31-01-2015,5363,638,4
1,02-02-2015,6038,669,4
1,03-02-2015,4901,596,3
1,04-02-2015,4672,544,1
1,05-02-2015,4394,551,2
1,06-02-2015,5022,604,3
1,07-02-2015,4663,599,4
1,09-02-2015,3965,501,5
1,10-02-2015,3136,419,7
1,11-02-2015,3735,501,4
1,12-02-2015,3900,477,2
1,13-02-2015,4726,630,3
1,14-02-2015,5015,624,6
1,16-02-2015,4303,478,3
1,17-02-2015,4833,512,4
1,18-02-2015,4180,509,6
1,19-02-2015,4460,507,2
1,20-02-2015,4651,548,11
1,21-02-2015,4475,547,7
1,23-02-2015,3598,454,4
1,24-02-2015,4054,500,7
1,25-02-2015,3875,512,8
1,26-02-2015,4042,489,9
1,27-02-2015,4708,542,5
1,28-02-2015,5289,640,8
1,02-03-2015,5942,669,10
1,03-03-2015,5451,576,11
1,04-03-2015,5568,597,8
1,05-03-2015,4419,534,8
1,06-03-2015,5397,579,9
1,07-03-2015,4592,570,11
1,09-03-2015,3701,485,16
1,10-03-2015,3805,491,10
1,11-03-2015,4170,521,10
1,12-03-2015,3141,405,12
1,13-03-2015,3725,493,8
1,14-03-2015,5225,599,7
1,16-03-2015,5695,605,13
1,17-03-2015,4806,555,17
1,18-03-2015,3858,504,18
1,19-03-2015,4748,535,16
1,20-03-2015,4057,472,15
1,21-03-2015,3909,506,8
1,23-03-2015,3565,495,10
1,24-03-2015,3547,464,13
1,25-03-2015,3531,447,18
1,26-03-2015,3932,490,11
1,27-03-2015,4005,529,11
1,28-03-2015,5208,605,13
1,30-03-2015,6714,697,11
1,31-03-2015,6206,589,15
1,01-04-2015,6816,707,9
1,02-04-2015,6574,722,9
1,04-04-2015,6709,796,8
1,07-04-2015,4163,555,13
1,08-04-2015,4194,500,16
1,09-04-2015,3467,430,19
1,10-04-2015,3549,428,22
1,11-04-2015,4173,525,17
1,13-04-2015,5377,574,16
1,14-04-2015,4648,535,22
1,15-04-2015,4110,501,25
1,16-04-2015,4116,480,23
1,17-04-2015,4718,511,16
1,18-04-2015,4594,544,14
1,20-04-2015,3722,480,20
1,21-04-2015,3037,416,24
1,22-04-2015,3319,411,17
1,23-04-2015,3076,426,18
1,24-04-2015,3198,437,21
1,25-04-2015,4318,537,18
1,27-04-2015,5575,574,14
1,28-04-2015,5199,552,14
1,29-04-2015,5775,579,16
1,30-04-2015,6228,650,16
1,02-05-2015,5850,653,17
1,04-05-2015,5591,589,22
1,05-05-2015,4564,514,25
1,06-05-2015,4960,536,19
1,07-05-2015,4529,491,18
1,08-05-2015,4683,536,22
1,09-05-2015,4945,596,21
1,11-05-2015,3551,453,26
1,12-05-2015,3547,438,29
1,13-05-2015,3998,523,21
1,15-05-2015,4178,523,22
1,16-05-2015,4431,505,18
1,18-05-2015,5280,577,23
1,19-05-2015,5235,546,18
1,20-05-2015,4735,533,16
1,21-05-2015,3755,471,18
1,22-05-2015,4459,495,20
1,23-05-2015,4276,506,21
1,26-05-2015,4211,479,16
1,27-05-2015,4083,497,16
1,28-05-2015,4111,474,22
1,29-05-2015,4656,537,19
1,30-05-2015,5592,580,18
1,01-06-2015,5774,607,14
1,02-06-2015,5450,590,25
1,03-06-2015,5809,616,24
1,05-06-2015,5384,609,33
1,06-06-2015,4183,460,27
1,08-06-2015,4071,502,19
1,09-06-2015,4102,485,20
1,10-06-2015,3591,453,21
1,11-06-2015,3627,442,24
1,12-06-2015,3695,422,31
1,13-06-2015,4256,502,26
1,15-06-2015,5518,586,22
1,16-06-2015,4852,503,21
1,17-06-2015,4000,476,23
1,18-06-2015,4645,498,21
1,19-06-2015,4202,487,15
1,20-06-2015,4097,494,17
1,22-06-2015,3846,489,14
1,23-06-2015,3762,447,17
1,24-06-2015,3346,414,20
1,25-06-2015,3533,433,25
1,26-06-2015,3317,420,27
1,27-06-2015,4019,463,24
1,29-06-2015,5197,541,29
1,30-06-2015,5735,568,29
1,01-07-2015,5223,562,33
1,02-07-2015,5558,573,35
1,03-07-2015,4665,538,36
1,04-07-2015,4797,560,38
1,06-07-2015,4359,540,29
1,07-07-2015,3650,485,35
1,08-07-2015,3797,485,23
1,09-07-2015,3897,480,21
1,10-07-2015,3808,449,25
1,11-07-2015,3530,441,32
1,13-07-2015,5054,553,22
1,14-07-2015,5042,544,26
1,15-07-2015,4767,550,29
1,16-07-2015,4427,517,33
1,17-07-2015,4852,519,35
1,18-07-2015,4406,512,30
1,20-07-2015,4395,526,28
1,21-07-2015,3558,469,32
1,22-07-2015,3464,463,33
1,23-07-2015,3769,503,27
1,24-07-2015,3706,459,32
1,25-07-2015,4364,500,22
1,27-07-2015,6102,612,22
1,28-07-2015,5011,560,22
1,29-07-2015,4782,523,22
1,30-07-2015,5020,546,23
1,31-07-2015,5263,555,23
